id,door_type,title,region,start_period,end_period,location,poster,syear,smonth,sday,eyear,emonth,eday,door
220,exhibit,순수박물관,서울,2021-08-06,2024-12-31,더월,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20210812_278%2F16287681720888UuH8_PNG%2F360_main_thumb_url_1628768172058.png,2021,8,6,2024,12,31,2
221,exhibit,우리 이제 만나요,서울,2021-04-28,2023-03-12,국립민속박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20210622_230%2F1624344973533zikXj_JPEG%2F360_main_thumb_url_1624344973500.jpg,2021,4,28,2023,3,12,2
222,exhibit,거인별에서 온 텔레파시 : 우주선을 고쳐줘!,서울,2021-05-04,2022-12-31,DMC홍보관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20210512_242%2F1620804360619jdFVY_PNG%2F360_main_thumb_url_1620804360553.png,2021,5,4,2022,12,31,2
223,exhibit,UD 라이프스타일 플랫폼 (UDP),서울,2021-02-24,2022-12-31,동대문디자인플라자,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20210510_97%2F1620637894417AFXcK_PNG%2F360_main_thumb_url_1620637894373.png,2021,2,24,2022,12,31,2
224,exhibit,컬러풀뮤지엄,서울,2021-01-06,2024-12-31,컬러풀뮤지엄,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20210506_181%2F1620287674650FYRlv_PNG%2F360_main_thumb_url_1620287674635.png,2021,1,6,2024,12,31,2
225,exhibit,"눈으로 걷는 순례, 한국천주교회사",서울,2020-11-28,2024-12-31,절두산순교성지,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3029_000_15%2F20201230163052683_717X1JM74.jpg%2F%25ED%258F%25AC%25EC%258A%25A4.jpg%3Ftype%3Dm1501,2020,11,28,2024,12,31,2
226,exhibit,스마트서울전시관,서울,2020-10-27,2024-12-31,시민청,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3029_000_14%2F20201027174109698_4NZANQS1V.jpg%2F%25EC%258A%25A4%25EB%25A7%2588.jpg%3Ftype%3Dm1501,2020,10,27,2024,12,31,2
227,exhibit,사도회관,서울,2018-06-25,2024-12-31,천주교서울대교구역사관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3029_000_2%2F20180829140319478_JU86IA9MR.jpg%2F%25EC%2582%25AC%25EB%258F%2584.jpg%3Ftype%3Dm1501,2018,6,25,2024,12,31,2
228,exhibit,박물관은 살아있다,서울,2014-03-06,2024-12-31,대일빌딩,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=http%3A%2F%2Fdbscthumb.phinf.naver.net%2F3029_000_1%2F20160420213852616_0J4D09ODQ.png%2F%25EB%25B0%2595%25EB%25AC%25BC.png%3Ftype%3Dm1501,2014,3,6,2024,12,31,2
229,exhibit,우리들의 캐리커쳐전,서울,2022-06-24,2022-10-01,평화박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220722_107%2F1658433936115QS3ja_JPEG%2FD081344_767c2dbb_EC9AB0EBA6ACEB93A4EC9D98%252BECBA90EBA6ACECBBA4ECB390-poster-01.jpg%3Ftype%3Dm1500,2022,6,24,2022,10,1,2
230,exhibit,명인 명창의 부채-바람에 바람을 싣다,서울,2022-06-29,2022-09-25,국립국악원,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220702_86%2F1656705933639xhXcL_JPEG%2FD081505_d5b112f6_getImgLoad162.jpg%3Ftype%3Dm1500,2022,6,29,2022,9,25,2
231,exhibit,꿈적꿈적전,서울,2022-06-04,2022-09-09,헬로우뮤지움,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220616_138%2F1655323524820NC1aH_JPEG%2FD080898_ec8a5343_hello.jpg%3Ftype%3Dm1500,2022,6,4,2022,9,9,2
232,exhibit,팀 버튼 특별전,서울,2022-04-30,2022-09-12,동대문디자인플라자,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220313_157%2F1647115529020pcHAX_JPEG%2FD079011_5a74d842_main.jpg%3Ftype%3Dm1500,2022,4,30,2022,9,12,2
233,exhibit,Artlee1974 푸른자전거 개인전,서울,2022-05-02,2023-05-02,퍼스트하우스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220612_35%2F16549779287719WKKX_JPEG%2FD080922_e1419a18_inter_img_700.jpg%3Ftype%3Dm1500,2022,5,2,2023,5,2,2
234,exhibit,"훈민정음, 천년의 문자 계획",서울,2022-01-21,2030-12-31,국립한글박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220427_254%2F1651003523610rqkwG_JPEG%2FD080234_c022d2d1_202205p033.jpg%3Ftype%3Dm1500,2022,1,21,2030,12,31,2
